,Timestamp,complete_assignments,work_hard,like_stats,feel_insecure,how_i_think,formulas,worthless,complicated_subject,training,more_employable,have_idea,communicate_ideas,not_useful,plan_to_study,get_frustrated,statistical_thinking,in_everyday_life,under_stress,enjoy_class,interested_using,conclusions_rarely_presented,quickly_learned,interested_understanding,great_discipline,no_application,make_errors,attend_class,scared_by_stats,interested_learning,massive_computations,i_can_learn,i_will_understand,irrelevant for life,highly_technical,difficult_to_understand,learn_new_thinking,do_well_in_math,good_at_math,stats_in_the_field,confident_in_mastery,is_stats_required,likely_to_choose_stats_course,major,overall_gpa,major_gpa,overall_credits,credits_this_semester,HS_completed,college_completed,degree,expected_grade,class_section,gender,citizenship,age,year_in_school,work_hours,wake_up,exercise_hours,tv_hours,social_hours,sleep_hours,first_time,political,race_ethnic,current_semester,class_format,use_tutor,can_calculate_major_gpa,know_excel,know_spss,learn_spss_excel,beneficial_to_know,why_beneficial,EMPLID3,HS_completed2
0,2015-01-28 10:57:43,7,7,4,2,2,4,2,6,5,5,2,4,4,7,2,3,5,4,4,4,2,4,5,6,3,3,7,4,4,5,6,6,3,6,3,5,6,6,4,4,Yes,3,Psychology,3.7,3.7,144,9.0,5.0,7.0,B.S.,A-,0,Male,US citizen,33,Post Bacc/2nd degree,36.0,8,10.0,5,5,42,No,Independent,White,Spring 2015,Fully online class,Don't know,Yes,,,,,,,5.0
1,2015-01-28 12:46:07,7,7,6,1,2,6,1,4,6,6,1,7,1,7,2,1,7,4,5,6,1,4,6,6,2,1,7,2,7,3,7,6,1,4,4,3,6,6,3,5,Yes,5,Psychology,3.94,3.2,99,9.0,4.0,2.0,B.A.,A,0,Female,US citizen,28,Upper Senior,36.0,6,0.0,3,5,49,No,Other,White,Spring 2015,Fully online class,No,No,,,,,,,4.0
2,2015-01-28 15:46:01,7,7,6,1,1,7,4,2,3,4,1,2,3,7,1,4,3,1,7,6,4,7,7,2,5,1,7,1,1,2,7,7,6,2,1,2,7,6,5,5,Yes,1,Psychology,4.0,4.0,96,9.0,8.0,4.0,B.A.,A+,0,Female,US citizen,24,Upper Junior,40.0,5:45,6.0,15,15,50,No,Other,White,Spring 2015,Fully online class,No,Yes,,,,,,,8.0
3,2015-01-28 17:48:14,7,7,4,4,4,4,1,6,4,5,3,5,2,6,6,1,6,7,3,5,1,3,5,5,1,3,7,7,5,7,6,6,1,6,6,5,5,5,5,3,Yes,1,Psychology,4.0,4.0,108,15.0,4.0,2.0,B.A.,B,0,Female,US citizen,24,Lower Senior,0.0,9 am,2.0,25,15,49,No,Democrat,Option 5,Spring 2015,Fully online class,Don't know,Yes,,,,,,,4.0
4,2015-01-28 22:42:59,7,7,5,2,2,3,1,4,5,2,1,4,3,7,1,4,2,3,5,5,2,2,5,5,2,3,6,2,5,3,6,6,3,6,2,3,5,5,2,4,Yes,3,Psychology,3.5,3.65,90,15.0,2.0,1.0,B.A.,A,1,Male,US citizen,42,Upper Junior,40.0,7am,0.0,5,1,50,No,Independent,White,Spring 2015,Fully online class,Don't know,Yes,,,,,,,2.0
5,2015-01-29 00:21:16,7,7,6,1,1,6,1,2,6,7,1,7,1,7,1,1,7,2,6,6,1,2,7,7,1,2,7,1,6,4,7,7,1,3,1,6,7,7,6,5,Yes,6,Psychology,3.58,3.4,109 Approx.,15.0,7.0,3.0,B.A.,A,0,Female,US citizen,26,Upper Senior,40.0,7am,0.0,8,3,30,No,Democrat,Black (not Latino/Hispanic),Spring 2015,Fully online class,Yes,Yes,,,,,,,7.0
6,2015-01-29 09:57:02,7,7,2,4,5,2,1,5,7,7,2,7,1,7,5,1,2,6,2,7,3,2,7,6,1,2,7,6,5,5,7,6,1,7,5,4,6,6,7,4,Yes,5,Psychology,3.7,3.7,12,9.0,4.0,2.0,M.A.,A,LM2,Female,US citizen,27,Master's Level,25.0,630am,,10-12,4-6,56,No,Democrat,White,Spring 2015,"Traditional class (in person, less than 30 people)",Yes,Yes,,,,,,,4.0
7,2015-01-29 12:07:00,6,6,5,4,3,3,3,6,4,4,3,3,2,6,2,3,4,4,5,4,4,4,4,7,4,6,7,5,5,4,5,5,3,5,4,4,1,4,3,3,Yes,2,Psychology,2.6,3.2,51,13.0,3.0,0.0,B.A.,C+,LM,Female,US citizen,19,Upper Sophomore,10.0,7:30,8.0,8,6,56,Yes,Democrat,Latino/Hispanic,Spring 2015,"Hybrid class (partially online, partially in person)",Yes,No,,,,,,,3.0
8,2015-01-29 13:35:48,7,7,6,5,7,4,1,4,7,5,5,7,1,7,4,4,4,4,6,7,1,3,7,7,1,5,7,5,7,6,7,7,2,4,4,4,4,4,5,4,Yes,3,Psychology,3.89,4.0,102,9.0,2.0,2.0,B.A.,A-,153,Female,US citizen,28,Lower Senior,40.0,6,7.0,3,0,42,Yes,Other,White,Spring 2015,Fully online class,Don't know,Yes,,,,,,,2.0
9,2015-01-29 13:52:17,7,7,6,6,3,4,2,4,7,7,3,7,5,7,6,2,1,4,6,6,3,4,7,5,2,3,7,5,7,4,6,6,2,4,3,4,5,5,5,4,Yes,4,Psychology,3.2,3.0,102,13.0,4.0,2.0,B.A.,A,LM4,Female,US citizen,26,Upper Senior,0.0,7-9,1.0,8,3,7-8,Yes,Other,Latino/Hispanic,Spring 2015,Large lecture class (more than 40 people),Yes,No,,,,,,,4.0
